time,x1,x2
1.46484375,18,NaN
1.46875,25,NaN
1.47265625,18,NaN
1.4765625,16,NaN
1.48046875,20,NaN
1.484375,20,NaN
1.48828125,27,NaN
1.4921875,45,NaN
1.49609375,67,NaN
1.5,100,NaN
1.50390625,119,NaN
1.5078125,132,NaN
1.51171875,143,NaN
1.515625,147,NaN
1.51953125,170,NaN
1.5234375,214,NaN
1.52734375,257,NaN
1.53125,293,NaN
1.53515625,328,NaN
1.5390625,338,NaN
1.54296875,329,NaN
1.546875,356,NaN
1.55078125,377,NaN
1.5546875,395,NaN
1.55859375,404,NaN
1.5625,421,NaN
1.56640625,419,NaN
1.5703125,406,NaN
1.57421875,410,NaN
1.578125,405,NaN
1.58203125,389,NaN
1.5859375,373,NaN
1.58984375,349,NaN
1.59375,295,NaN
1.59765625,250,NaN
1.6015625,221,NaN
1.60546875,162,NaN
1.609375,137,NaN
1.61328125,132,NaN
1.6171875,129,NaN
1.62109375,117,NaN
1.625,109,NaN
1.62890625,100,NaN
1.6328125,83,NaN
1.63671875,65,NaN
1.640625,46,NaN
1.64453125,31,NaN
1.6484375,15,NaN
1.65234375,7,NaN
1.65625,3,NaN
1.66015625,-13,NaN
1.6640625,-26,NaN
1.66796875,-38,NaN
1.671875,-46,NaN
1.67578125,-51,NaN
1.6796875,-34,NaN
1.68359375,-25,NaN
1.6875,-34,NaN
1.69140625,-33,NaN
1.6953125,-26,NaN
1.69921875,-36,NaN
1.703125,-45,NaN
1.70703125,-50,NaN
1.7109375,-58,NaN
1.71484375,-56,NaN
1.71875,-50,NaN
1.72265625,-59,NaN
1.7265625,-73,NaN
1.73046875,-89,NaN
1.734375,-85,NaN
1.73828125,-85,NaN
1.7421875,-76,NaN
1.74609375,-59,NaN
1.75,-61,NaN
1.75390625,-65,NaN
1.7578125,-59,NaN
1.76171875,-55,NaN
1.765625,-54,NaN
1.76953125,-47,NaN
1.7734375,-47,NaN
1.77734375,-42,NaN
1.78125,-36,NaN
1.78515625,-35,NaN
1.7890625,-50,NaN
1.79296875,-93,NaN
1.796875,-91,NaN
1.80078125,-80,NaN
1.8046875,-80,NaN
1.80859375,-84,NaN
1.8125,-88,NaN
1.81640625,-121,NaN
1.8203125,-101,NaN
1.82421875,-30,NaN
1.828125,18,NaN
1.83203125,73,NaN
1.8359375,120,NaN
1.83984375,142,NaN
1.84375,169,NaN
1.84765625,192,NaN
1.8515625,194,NaN
1.85546875,195,NaN
1.859375,243,NaN
1.86328125,273,NaN
1.8671875,286,NaN
1.87109375,297,NaN
1.875,280,NaN
1.87890625,265,NaN
1.8828125,262,NaN
1.88671875,243,NaN
1.890625,180,NaN
1.89453125,179,NaN
1.8984375,219,NaN
1.90234375,225,NaN
1.90625,202,NaN
1.91015625,159,NaN
1.9140625,84,NaN
1.91796875,-14,NaN
1.921875,-44,NaN
1.92578125,-65,NaN
1.9296875,-84,NaN
1.93359375,-47,NaN
1.9375,-25,NaN
1.94140625,-57,NaN
1.9453125,-11,NaN
1.94921875,-3,NaN
1.953125,-37,NaN
1.95703125,-111,NaN
1.9609375,-116,NaN
1.96484375,-107,NaN
1.96875,-89,NaN
1.97265625,-56,NaN
1.9765625,-97,NaN
1.98046875,-182,NaN
1.984375,-180,NaN
1.98828125,-126,NaN
1.9921875,-77,NaN
1.99609375,22,NaN
2,-3,NaN
2.00390625,-94,NaN
2.0078125,-106,NaN
2.01171875,-142,NaN
2.015625,-86,NaN
2.01953125,-20,NaN
2.0234375,-19,NaN
2.02734375,-93,NaN
2.03125,-108,NaN
2.03515625,-87,NaN
2.0390625,-64,NaN
2.04296875,-42,NaN
2.046875,-26,NaN
2.05078125,-21,NaN
2.0546875,-52,NaN
2.05859375,-71,NaN
2.0625,-108,NaN
2.06640625,-137,NaN
2.0703125,-124,NaN
2.07421875,-144,NaN
2.078125,-108,NaN
2.08203125,-136,NaN
2.0859375,-92,NaN
2.08984375,56,NaN
2.09375,69,NaN
2.09765625,30,NaN
2.1015625,44,NaN
2.10546875,-89,NaN
2.109375,-63,NaN
2.11328125,150,NaN
2.1171875,305,NaN
2.12109375,315,NaN
2.125,241,NaN
2.12890625,253,NaN
2.1328125,222,NaN
2.13671875,398,NaN
2.140625,489,NaN
2.14453125,508,NaN
2.1484375,424,NaN
2.15234375,265,NaN
2.15625,190,NaN
2.16015625,253,NaN
2.1640625,258,NaN
2.16796875,207,NaN
2.171875,214,NaN
2.17578125,95,NaN
2.1796875,-29,NaN
2.18359375,-67,NaN
2.1875,-8,NaN
2.19140625,51,NaN
2.1953125,124,NaN
2.19921875,194,NaN
2.203125,111,NaN
2.20703125,59,NaN
2.2109375,7,NaN
2.21484375,-22,NaN
2.21875,-12,NaN
2.22265625,26,NaN
2.2265625,5,NaN
2.23046875,-36,NaN
2.234375,61,NaN
2.23828125,-26,NaN
2.2421875,-147,NaN
2.24609375,37,NaN
2.25,30,NaN
2.25390625,-101,NaN
2.2578125,-133,NaN
2.26171875,-354,NaN
2.265625,-410,NaN
2.26953125,-174,NaN
2.2734375,-45,NaN
2.27734375,-80,NaN
2.28125,-100,NaN
2.28515625,-171,NaN
2.2890625,-305,NaN
2.29296875,-208,NaN
2.296875,-103,NaN
2.30078125,-151,NaN
2.3046875,-178,NaN
2.30859375,-112,NaN
2.3125,-124,NaN
2.31640625,-114,NaN
2.3203125,-115,NaN
2.32421875,-235,NaN
2.328125,-228,NaN
2.33203125,-270,NaN
2.3359375,-181,NaN
2.33984375,-42,NaN
2.34375,-25,NaN
2.34765625,47,NaN
2.3515625,-38,NaN
2.35546875,-164,NaN
2.359375,-128,NaN
2.36328125,-79,NaN
2.3671875,-49,NaN
2.37109375,63,NaN
2.375,79,NaN
2.37890625,-27,NaN
2.3828125,-76,NaN
2.38671875,-113,NaN
2.390625,-95,NaN
2.39453125,-26,NaN
2.3984375,104,NaN
2.40234375,139,NaN
2.40625,92,NaN
2.41015625,54,NaN
2.4140625,-65,NaN
2.41796875,-116,NaN
2.421875,-77,NaN
2.42578125,-113,NaN
2.4296875,-21,NaN
2.43359375,51,NaN
2.4375,78,NaN
2.44140625,164,NaN
2.4453125,182,NaN
2.44921875,123,NaN
2.453125,57,NaN
2.45703125,16,NaN
2.4609375,-88,NaN
2.46484375,-122,NaN
2.46875,-77,NaN
2.47265625,-168,NaN
2.4765625,-108,NaN
2.48046875,-88,NaN
2.484375,-9,NaN
2.48828125,116,NaN
